ortho_id	clade1	clade2	clade3	clade4
clust_0392	1	1	1	1
clust_0393	1	1	1	1
clust_0394	1	1	1	1
clust_0395	1	1	1	1
clust_0396	1	1	1	1
clust_0397	1	1	1	1
clust_0398	1	1	1	1
clust_0399	1	1	1	1
clust_0400	1	1	1	1
clust_0401	1	1	1	1
clust_0402	1	1	1	1
clust_0403	1	1	1	1
clust_0404	1	1	1	1
clust_0405	1	1	1	1
clust_0406	1	1	1	1
clust_0407	1	1	1	1
clust_0408	1	1	1	1
clust_0409	1	1	1	1
clust_0410	1	1	1	1
clust_0411	1	1	1	1
clust_0412	1	1	1	1
clust_0413	1	1	1	1
clust_0414	1	1	1	1
clust_0415	1	1	1	1
clust_0416	1	1	1	1
clust_0417	1	1	1	1
clust_0418	1	1	1	1
clust_0419	1	1	1	1
clust_0420	1	1	1	1
clust_0421	1	1	1	1
clust_0422	1	1	1	1
clust_0423	1	1	1	1
clust_0424	1	1	1	1
clust_0425	1	1	1	1
clust_0426	1	1	1	1
clust_0427	1	1	1	1
clust_0428	1	1	1	1
clust_0429	1	1	1	1
clust_0430	1	1	1	1
clust_0431	1	1	1	1
clust_0432	1	1	1	1
clust_0433	1	1	1	1
clust_0434	1	1	1	1
clust_0435	1	1	1	1
clust_0436	1	1	1	1
clust_0437	1	1	1	1
clust_0438	1	1	1	1
clust_0439	1	1	1	1
clust_0440	1	1	1	1
clust_0441	1	1	1	1
clust_0442	1	1	1	1
clust_0443	1	1	1	1
clust_0444	1	1	1	1
clust_0445	1	1	1	1
clust_0446	1	1	1	1
clust_0447	1	1	1	1
clust_0448	1	1	1	1
clust_0449	1	1	1	1
clust_0450	1	1	1	1
clust_0451	1	1	1	1
clust_0452	1	1	1	1
clust_0453	1	1	1	1
clust_0454	1	1	1	1
clust_0455	1	1	1	1
clust_0456	1	1	1	1
clust_0457	1	1	1	1
clust_0458	1	1	1	1
clust_0459	1	1	1	1
clust_0460	1	1	1	1
clust_0461	1	1	1	1
clust_0462	1	1	1	1
clust_0463	1	1	1	1
clust_0464	1	1	1	1
clust_0465	1	1	1	1
clust_0466	1	1	1	1
clust_0467	1	1	1	1
clust_0468	1	1	1	1
clust_0469	1	1	1	1
clust_0470	1	1	1	1
clust_0471	1	1	1	1
clust_0472	1	1	1	1
clust_0473	1	1	1	1
clust_0474	1	1	1	1
